date,1. open,2. high,3. low,4. close,5. volume
2019-01-23 13:24:00,144.44,144.4751,144.41,144.43,30095.0
2019-01-23 13:25:00,144.4,144.43,144.37,144.38,18212.0
2019-01-23 13:26:00,144.4,144.44,144.4,144.42,10219.0
2019-01-23 13:27:00,144.4,144.42,144.36,144.37,27489.0
2019-01-23 13:28:00,144.38,144.4,144.33,144.3693,24033.0
2019-01-23 13:29:00,144.3399,144.35,144.22,144.25,28867.0
2019-01-23 13:30:00,144.25,144.27,144.21,144.21,13401.0
2019-01-23 13:31:00,144.2147,144.24,144.171,144.24,20061.0
2019-01-23 13:32:00,144.28,144.36,144.27,144.36,24779.0
2019-01-23 13:33:00,144.4,144.54,144.4,144.47,21863.0
2019-01-23 13:34:00,144.5,144.5026,144.41,144.46,26276.0
2019-01-23 13:35:00,144.5,144.5,144.37,144.415,12739.0
2019-01-23 13:36:00,144.38,144.42,144.36,144.39,14970.0
2019-01-23 13:37:00,144.405,144.43,144.3605,144.4144,23225.0
2019-01-23 13:38:00,144.43,144.43,144.25,144.26,37441.0
2019-01-23 13:39:00,144.2401,144.2464,144.1,144.14,45778.0
2019-01-23 13:40:00,144.12,144.18,144.02,144.02,38707.0
