date,SlowK,SlowD
2019-01-22 14:02,51.324,40.5481
2019-01-22 14:03,43.3863,46.5618
2019-01-22 14:04,14.2866,36.3323
2019-01-22 14:05,0.0,19.2243
2019-01-22 14:06,20.3713,11.5526
2019-01-22 14:07,29.6287,16.6667
2019-01-22 14:08,33.7951,27.9317
2019-01-22 14:09,14.5726,25.9988
2019-01-22 14:10,5.3152,17.8943
2019-01-22 14:11,3.6488,7.8455
2019-01-22 14:12,7.6292,5.5311
2019-01-22 14:13,8.7414,6.6731
2019-01-22 14:14,16.387,10.9192
2019-01-22 14:15,44.591,23.2398
2019-01-22 14:16,66.8655,42.6145
2019-01-22 14:17,84.0535,65.17
2019-01-22 14:18,72.054,74.3244
